month,region,pair,avg_rate
2023-01,EMEA,EURUSD,1.0811
2023-01,APAC,JPYUSD,0.00717
2023-02,EMEA,EURUSD,1.0511
2023-02,APAC,JPYUSD,0.00711
2023-03,EMEA,EURUSD,1.0449
2023-03,APAC,JPYUSD,0.00724
2023-04,EMEA,EURUSD,1.0558
2023-04,APAC,JPYUSD,0.00728
2023-05,EMEA,EURUSD,1.0661
2023-05,APAC,JPYUSD,0.00724
2023-06,EMEA,EURUSD,1.0828
2023-06,APAC,JPYUSD,0.00735
2023-07,EMEA,EURUSD,1.0475
2023-07,APAC,JPYUSD,0.0072
2023-08,EMEA,EURUSD,1.0716
2023-08,APAC,JPYUSD,0.00718
2023-09,EMEA,EURUSD,1.072
2023-09,APAC,JPYUSD,0.00738
2023-10,EMEA,EURUSD,1.0557
2023-10,APAC,JPYUSD,0.00731
2023-11,EMEA,EURUSD,1.082
2023-11,APAC,JPYUSD,0.00729
2023-12,EMEA,EURUSD,1.0625
2023-12,APAC,JPYUSD,0.0074
2024-01,EMEA,EURUSD,1.0539
2024-01,APAC,JPYUSD,0.0074
2024-02,EMEA,EURUSD,1.0525
2024-02,APAC,JPYUSD,0.00732
2024-03,EMEA,EURUSD,1.0686
2024-03,APAC,JPYUSD,0.00719
2024-04,EMEA,EURUSD,1.0871
2024-04,APAC,JPYUSD,0.0074
2024-05,EMEA,EURUSD,1.0366
2024-05,APAC,JPYUSD,0.0073
2024-06,EMEA,EURUSD,1.0746
2024-06,APAC,JPYUSD,0.00739
2024-07,EMEA,EURUSD,1.0425
2024-07,APAC,JPYUSD,0.00735
2024-08,EMEA,EURUSD,1.0784
2024-08,APAC,JPYUSD,0.00732
2024-09,EMEA,EURUSD,1.0779
2024-09,APAC,JPYUSD,0.00714
2024-10,EMEA,EURUSD,1.0801
2024-10,APAC,JPYUSD,0.00738
2024-11,EMEA,EURUSD,1.0904
2024-11,APAC,JPYUSD,0.00727
2024-12,EMEA,EURUSD,1.0658
2024-12,APAC,JPYUSD,0.00727
2025-01,EMEA,EURUSD,1.0814
2025-01,APAC,JPYUSD,0.00744
2025-02,EMEA,EURUSD,1.0749
2025-02,APAC,JPYUSD,0.00731
2025-03,EMEA,EURUSD,1.067
2025-03,APAC,JPYUSD,0.00738
2025-04,EMEA,EURUSD,1.0758
2025-04,APAC,JPYUSD,0.00734
2025-05,EMEA,EURUSD,1.0746
2025-05,APAC,JPYUSD,0.00744
2025-06,EMEA,EURUSD,1.0888
2025-06,APAC,JPYUSD,0.00741
2025-07,EMEA,EURUSD,1.032
2025-07,APAC,JPYUSD,0.0074
2025-08,EMEA,EURUSD,1.0785
2025-08,APAC,JPYUSD,0.00731
2025-09,EMEA,EURUSD,1.072
2025-09,APAC,JPYUSD,0.00708
2025-10,EMEA,EURUSD,1.065
2025-10,APAC,JPYUSD,0.00727
2025-11,EMEA,EURUSD,1.11
2025-11,APAC,JPYUSD,0.00735
2025-12,EMEA,EURUSD,1.0648
2025-12,APAC,JPYUSD,0.00735
